Place,Username,Points,Victories,Games,Kills,Deaths,Beds,Teams Eliminated,Winstreak,Country
325,CraftingToty100,1136140,3067,4756,34161,9316,4183,3236,0,Norway

326,LukaDark,1135895,2910,4557,21468,13401,2743,2092,0,United States

327,s1fia,1134020,2797,5718,28870,14495,4327,2719,0,None

328,Meiido,1133985,2560,3487,26266,12736,7266,7506,0,France

329,Linaa_,1131020,2923,6894,26580,24525,3068,2376,0,United Kingdom

330,CHEWIE006,1121080,2800,5470,16005,16050,3745,5356,2,Colombia

331,Josayy,1117815,3120,4330,21670,11001,3600,2856,1,Germany

332,xRare_,1117485,2889,5397,20788,14402,2316,2107,3,United States

333,Fcssy,1117225,3089,5519,23133,10511,3682,2585,3,None

334,Dxmiien,1116495,2706,4146,35885,7066,2281,3219,0,None

335,Unbeliebte,1116320,3137,6283,18550,9825,1460,2715,0,None

336,MatthewOf4s,1116300,2917,4659,24958,6296,5203,4267,1,Germany

337,_heh,1113760,2616,4239,35470,12600,4561,3961,2,None

338,carrylord66,1110525,3061,3176,20641,5462,3921,3714,14,Ukraine

339,Razzy__,1106110,2933,6356,19911,14814,3177,2837,0,Portugal

340,mucuss,1105065,3329,5128,15909,15043,3932,2543,3,None

341,saiparina,1102775,2900,4660,30556,9139,6065,5115,0,Belgium

342,bbleed,1101120,3031,4042,18728,6472,2666,4108,0,None

343,BlRDS,1094210,3073,3701,22202,4659,2387,6943,0,None

344,VincentVanGamer,1093660,2758,3904,29084,10758,4207,4145,0,Japan

345,MICROWAVEGIRL,1092845,3059,4204,24928,11164,6254,4716,0,United Kingdom

346,vaisakh,1088965,3057,4815,21753,8916,2728,4867,0,None

347,HomoStateOfMind,1088750,2830,5534,29468,12533,3248,2634,1,United States

348,thesilenta,1087745,3016,5082,20633,12886,4123,2888,1,Germany

349,wiszo,1086300,2663,5839,19009,14410,5723,4123,0,United States

350,_Til,1085085,2755,3249,27472,7250,7391,6372,0,Ireland

351,Breathlessly,1081985,2412,6335,26524,22440,6388,4297,0,None

352,Sclena,1081485,2692,6766,25214,16622,1918,1962,0,None

353,CupcakerocketX,1079500,2825,5514,23595,16872,4632,3542,0,None

354,Sun5_,1077855,2970,4671,24423,10357,2638,3923,0,Norway

355,Squxi,1077605,2618,4598,22080,13651,3561,3050,0,United States

356,flowerpiig,1074090,3023,4851,19396,8545,2436,2318,5,Sweden

357,TheFancyTomato,1073815,2778,5514,28064,12054,3953,2614,10,None

358,Asashyn,1072040,2517,3974,30085,13812,4608,3530,0,Belgium

359,Tiilly,1068930,2796,4880,22365,14439,3139,2250,16,None

360,Heapyy,1068215,2205,7511,33860,19999,5267,3964,0,France

361,Shimoritsu,1066570,2915,5017,15553,17649,1275,1184,1,None

362,Adorrable,1065205,2780,6551,15250,15179,2827,2315,0,Canada

363,Arega,1056565,3065,4384,19337,10904,2621,1845,0,None

364,lucado31,1055105,2729,4420,25712,14552,6537,4957,5,Germany

365,SavageImpacts,1052210,2469,4247,31780,13799,4453,3728,0,None

366,Kxtsuro,1051175,2501,5006,26097,16659,4177,4092,6,United Kingdom

367,Mwia,1048960,2678,3398,32610,9335,4789,4109,0,United States

368,MeAndThisChair,1048485,3026,5562,11555,8613,1826,1555,0,None

369,BabyLays,1047870,2870,5011,17630,14301,2151,2006,0,United States

370,BBulu,1045840,2724,4082,25316,11346,2234,3506,0,Austria

371,ghrau,1044735,2307,4898,28667,18056,4526,4238,0,None

372,Ultriligy,1041335,2778,4865,30395,13264,2924,2594,0,None

373,Jounella,1037805,2576,6128,25944,14891,2401,2265,0,None

374,FloranNinja,1036025,2391,4328,27593,21160,4718,3934,0,United Kingdom

375,Nekrosion,1035395,2929,3261,24698,5237,3793,3557,23,None

376,Darkman64,1034475,3091,3403,18284,5707,4050,3158,0,Germany

377,HowToGHP,1029215,2340,2764,25833,5955,4662,4278,1,None

378,JGamesSxnpai,1027180,2722,4166,23059,15720,2175,3955,2,Portugal

379,21Fatty,1026015,2673,3852,18437,9950,3171,2591,3,None

380,YouKnowMe_qsaw,1024850,2561,4625,23239,9474,2917,2487,1,None

381,ycji,1024560,2793,3543,19631,7095,2491,2436,1,United Kingdom

382,Jupiane,1024475,2442,7724,20787,24502,3142,2016,0,United Kingdom

383,Purpuh,1018900,2704,4780,18139,11132,1977,2033,5,None

384,Effqrt,1017560,2746,3805,25549,9553,3877,3073,0,Sweden

385,Basma,1016905,2613,6073,19970,24380,3448,1734,0,United States

386,extr3me_sk8man,1016285,2519,4600,28896,12711,5574,4585,0,United States

387,MrH4zard,1014460,3100,3726,19495,6255,3892,3189,5,None

388,GuivenYang,1014390,2470,6133,17605,16412,4584,3142,0,None

389,kerq,1012110,2574,4680,20223,10628,3672,3311,0,None

390,Skailai,1011315,2258,4175,25010,13987,4630,4026,0,France

391,AllerZizou,1007970,2617,4929,26434,10349,2989,2715,0,None

392,ImNeptuno,1007745,2780,5398,20764,11521,2710,2122,0,Bulgaria

393,Rheza,1002730,2427,4131,24007,12683,4787,4048,3,Holy See

394,wateo,1000000,2661,3113,24636,5163,1893,2554,65,None

395,Uncreqtive,996915,2704,4049,21287,9993,1788,2023,1,United Kingdom

396,ItzLxren,996620,2197,5661,20292,13315,4630,2897,1,United Kingdom

397,InnitLucy,995605,2650,5036,14311,14157,1976,2447,5,Holy See

398,skylcr,995415,2717,3695,14103,9365,2175,1787,10,None

399,CapitNJakSparow,994980,2452,6091,26810,20469,2089,1892,0,United Kingdom

400,John2314,993210,2755,3332,22963,5213,2504,2283,3,None

401,hheidi,992165,2728,4306,15198,8443,5313,3543,3,None

402,blushn,990065,2677,4832,16466,10308,2649,1869,8,None

403,Black_Sheepy,989750,2328,5534,25851,6738,8520,7578,1,United States

404,Smz2003,989385,2786,7412,13354,16740,935,1205,0,Sweden

405,Natification,986820,2517,2798,17854,3399,3858,3484,5,None

406,frqnkieBear,986675,2526,5357,24618,13103,2404,2023,0,None

407,SofieGames,984345,2502,4285,28298,16085,3708,2941,1,Romania

408,xxUni,977590,2732,5061,9829,9589,1759,1452,5,Australia

409,Gargant,975650,2516,3777,18499,8053,1870,1853,1,United States

410,SICKINC,972675,2724,7187,14561,10980,789,1574,0,None

411,8388,972625,2348,5181,28762,11434,3615,2915,1,None

412,Liniss,971970,2607,4237,14121,13148,1487,1383,0,None

413,bvvn,971130,2418,3692,21631,9113,3752,6291,0,None

414,CrispyAudrey,967725,2343,7754,24412,23238,3426,3506,0,None

415,SloppyJoe17,967460,2416,4058,19661,7972,6237,5068,1,None

416,LordDeWitt,964970,2597,2947,20560,6621,5894,4888,0,None

417,DerpDeni,964745,2500,4570,28699,17315,3753,3154,1,United States

418,Its_Katieee,962120,2420,4917,18431,16082,2456,1746,0,United States

419,kcyla,961120,2586,4644,21175,11176,3281,2246,0,None

420,_Clleo,955215,2364,5358,20168,14703,2992,2582,0,None

421,Arenaya,955050,2550,4333,19455,12269,1592,1570,0,United Kingdom

422,ycvn,954515,2694,7923,7385,15918,1372,1792,1,None

423,Laiiky,951610,2387,4850,21718,10891,3166,2004,0,United Kingdom

424,Cqra_,951105,2379,5382,21727,15336,2330,3092,2,Austria

425,LoneMinecraftion,950560,2327,4182,21052,12971,3664,2656,0,Norway

426,Mcya,947180,2445,5793,17640,17227,2249,1755,7,None

427,flqwr,946835,2179,6229,29031,16083,2970,3831,2,None

428,GamonZ,945895,1839,4665,29714,17760,4883,4932,0,United States

429,Resonanceee,944895,2328,5082,20906,14392,3537,2721,0,None

430,frickingfricks,944530,2190,7519,16830,19655,4070,2653,0,None

431,PR0T3CTI0N,941670,2558,2660,15810,4153,2929,2668,49,None

432,iSoul,935060,2322,3524,20091,10251,4180,2465,0,None

433,MangoBerryX,929580,2457,4130,18261,13273,1623,1895,0,United States

434,xKillua__,927960,2324,6938,14038,18988,3824,2353,0,None

435,Aloofness,926920,2052,2704,18127,7398,9660,7985,1,None

436,xXDelayneyXx,925980,2303,4478,23292,15879,5527,3951,0,Germany

437,WoodyUK,924850,2614,3615,14794,9433,2265,4130,9,Germany

438,GentleKoala,924390,2391,2858,21130,6911,3634,4235,5,None

439,BoomiGHP,924230,2025,2545,23244,6539,4612,3750,1,None

440,iDoofa,919255,2367,7251,16380,13747,3041,1970,2,None

441,MrJinzo_,917955,2757,5506,14789,13077,2163,1446,0,United Kingdom

442,ilyscphs,917740,2339,4405,27566,11325,1787,3095,1,None

443,SimplyAlma,916160,1971,4815,17320,13555,4758,3607,0,New Zealand

444,newcoupe,914175,2514,4908,16380,15560,2448,1551,0,Germany

445,hxmmy,914165,2341,6487,17284,21929,2286,2718,0,France

446,Prismary,913040,2233,2717,18894,6557,3188,3311,28,None

447,sunv,911850,2541,4174,13476,9373,1382,1930,0,None

448,Pinxzo,911510,2324,3164,20518,6610,3676,4072,0,None

449,Cqsino,911055,2381,6209,13632,17308,2045,2365,0,Australia

450,ElMediatore,910275,2718,3019,17634,5322,2069,2071,0,Ireland

451,durkyy,909615,2479,4639,18723,11562,1551,2664,0,None

452,miss_tulip11,909110,3066,4179,11677,11566,2502,1425,0,United States

453,35OO,908565,2283,3611,34821,4874,2195,2534,0,None

454,duck3n,908370,2343,4543,17159,14312,2921,2653,0,United States

455,JamSister,907925,2414,4878,15492,12580,2249,2001,0,Switzerland

456,petalistic,906715,2387,4825,17280,13927,4223,3670,1,Luxembourg

457,x0ursBl4ncx,905870,2195,3618,26831,7639,3240,3405,0,None

458,ImagineDying,905640,2170,3329,24932,10392,3426,4053,0,Russia

459,oneofthefae,905435,2604,4246,9466,8883,1066,1341,1,None

460,Lord_Eryn,905180,2189,2696,19606,6755,3552,3138,4,None

461,MondayFox,904815,1978,3883,20053,11207,7460,5986,0,None

462,Jaap,903810,2539,2917,14901,7017,2668,2092,1,None

463,Real_Mrs,903465,2370,4938,12598,11982,1421,1968,0,United Arab Emirates

464,Re69,902050,2308,2545,18077,4227,9262,8125,22,None

465,fadhi,901595,2247,4529,19059,10756,3629,2406,1,France

466,bladejos9,901195,2592,3441,21230,19270,2204,2440,2,United Arab Emirates

467,Arnavd,900985,2052,5566,22435,16978,3359,2725,0,Russia

468,noahaen,900450,2135,5636,18548,23110,3821,2721,0,None

469,NGs_,896640,2062,3635,22553,8492,5163,4022,4,None

470,ItsTimeToGoZlurq,894095,2388,3052,18080,5756,3650,2591,2,Hong Kong

471,zYanki_,891530,2448,3485,15060,8909,2625,1786,1,None

472,shclbi,888345,2574,3749,16854,7261,2343,2136,0,Netherlands

473,Dreeams,885575,2124,3468,22587,13926,4083,3777,10,None

474,duwp,885065,2037,4527,17709,11954,6245,4751,1,None

475,Secrotal,883375,2475,3007,18547,6755,3215,2707,8,None

476,Ascendix,883150,2173,3389,19814,6750,3858,5012,0,United States

477,hunkofmeat,883030,1975,6865,21862,14573,4313,3366,0,Japan

478,LOVEMORDECAI,882240,2453,2974,16651,4403,2303,2786,29,United States

479,ItsOK,882165,3065,4150,20808,8765,3435,2317,1,Denmark

480,i1ii,880795,1445,8347,15511,31584,7561,3666,0,Italy

481,AssassinXS,879820,2244,3564,21160,5934,3130,5516,6,None

482,Cami72,875755,2477,2996,19143,6001,2536,2722,0,None

483,Eduarrdo,875715,2543,3026,18424,4734,2062,1805,0,None

484,_Pikamile_,874895,2248,7759,20610,11585,1934,1818,0,United States

485,aapeh,874440,2028,4219,18321,14028,3263,2559,1,None

486,varks,874185,2615,2684,15628,2924,2396,2333,59,France

487,_Tohkha,872560,2312,3424,23192,8905,2044,2244,0,Germany

488,Tere,872455,2209,4004,21036,11218,3713,5510,0,None

489,AzzifyBestWW,872150,2458,2481,15804,2832,2452,2262,521,None

490,cloudhighcomeup,869655,2286,4992,15112,10566,2786,1736,0,United States

491,xMasked_,866545,2195,4150,16696,13284,5212,3706,0,None

492,xmbr,865755,2347,3057,15924,7585,2635,2961,6,Kazakhstan

493,Beeliever,864020,2445,4279,11275,10006,2049,2925,14,United Kingdom

494,ChenSxnpai,863425,2122,4538,15818,19493,2973,3436,0,United Kingdom

495,Real_Mr,863390,2291,5548,17995,10092,3240,2097,0,Finland

496,SophieAnderson,862920,2438,3199,11483,7794,1247,2344,57,Russia

497,Giive,861435,2532,3152,20281,6800,4197,3627,0,None

498,chlor1ne_,859030,1848,6251,15354,14825,3451,2092,0,None

499,zAnn0y3d,858760,2243,3646,24015,11251,1319,1765,5,None

500,Tenlich,858560,2138,3717,24446,6803,2919,2713,0,None

501,j_wood123,857760,2461,5754,23706,8147,5572,4697,0,None

502,babycult,856840,2108,6974,19313,16828,2587,1986,0,Germany

503,Rottzu,856605,1618,8194,15038,13075,4037,3091,0,Netherlands

504,Carlcs,855885,2283,2954,19550,6493,2579,2219,11,Australia

505,txsla,851800,2297,3426,14658,9984,2622,1980,0,None

506,SaucyLiana,851615,2341,3919,15767,9565,2120,1727,0,None

507,Mamarine,851610,2211,4532,13060,13433,1976,2032,1,United States

508,YSSNDamDam,851215,2218,2760,14660,5008,3432,4772,12,None

509,ilov3you,849965,2271,5596,11990,10601,1774,2995,0,None

510,xEmily_,849820,2473,5143,20949,12308,3601,2323,1,Philippines

511,KingGreen14,846150,2068,3343,29853,12105,2858,3228,5,None

512,ophelllia_,844180,2282,5029,10941,14424,2106,3206,0,None

513,BanMildBree,841580,2408,5330,9654,9860,752,1717,8,None

514,luhvur,841010,2259,4837,13557,10202,1843,4236,6,Venezuela

515,CrispiestYL,837835,1857,5893,16941,14349,4684,3044,0,United Kingdom

516,Tweenar,836335,2321,3316,19434,7873,2345,1943,0,None

517,23week_Waza,836005,1918,2289,22945,5290,4603,4175,1,United States

518,kahshoot,835740,2208,4075,9434,9672,2632,2194,11,None

519,Eclla,834260,2392,4025,10428,8307,1298,1491,0,United States

520,BabyCarrrot,834070,2054,3305,20339,7843,2227,2667,7,France

521,convelc,833795,2038,4289,21315,10435,2695,3203,0,Sweden

522,Roobios,831875,2067,3741,33693,14549,4161,3736,0,Niger

523,Boths,829720,2272,2868,17477,4210,3210,2559,0,Ukraine

524,RufusZero,828465,1955,3479,22225,8106,8440,7483,0,Philippines

525,Gcbriel,828300,2065,3982,20136,9026,2877,2267,1,Poland

526,bxlenciaga,827720,2285,2882,18087,6889,1762,1711,0,None

527,PumPumTuTuTuGrra,827245,2139,2707,20096,4846,2660,2123,8,None

528,DxrkHxnter,826985,2111,4204,17907,13253,1873,2155,0,France

529,koekievreeter,826085,1885,3552,16239,9359,2840,3958,0,None

530,MyNameIsBaymax,825775,2102,5179,18015,12945,1757,1950,2,United Kingdom

531,Yimk,822930,2054,2977,12581,8410,2142,2606,0,France

532,0hStormi,821185,2248,4531,19906,9672,1988,1736,1,None

533,Sysys1319,817930,2000,5432,24659,15612,2660,2899,0,None

534,Hadst,815820,1731,4282,21347,8774,3633,3746,1,None

535,Wolflok,814230,2124,2807,17401,7498,2629,2180,1,Holy See

536,Mikesxnpai,813375,1966,5618,18187,18319,2909,3586,2,None

537,Dvwn,812105,2183,3528,14456,10038,2534,1934,0,None

538,PotatoWedges,811515,2150,4246,13629,10862,2137,1254,0,United Kingdom

539,Peaachi,808525,1961,4710,21647,14061,3411,3059,0,None

540,TheJasmine,808055,2586,2721,15787,4438,2489,2420,0,None

541,Sitryx,806470,2054,3683,18252,9623,4415,3309,0,Poland

542,K1endy,805405,2304,3224,11210,8007,3234,2025,2,United States

543,qyid,805015,2205,3435,15515,7378,3765,2596,2,United States

544,Purpzuki,803980,1944,3124,19259,7045,4430,3654,0,United Arab Emirates

545,Ch_se,803730,1973,4305,22546,10968,3186,2384,0,None

546,Dweamsss,803205,1859,7414,11928,24197,1833,1482,0,None

547,Youlie,802830,2285,2862,19876,5396,4982,4272,43,Germany

548,ritsus,802810,2008,4778,18204,12394,1859,1880,0,None

549,Mogthra,802730,2115,2744,17861,4153,2043,1913,1,Switzerland

550,SaucyLuke,802635,2088,4740,12749,10481,1402,1354,0,Netherlands

551,_Stitchy,802255,1814,4438,13366,18607,2281,1991,0,Virgin Islands (U.S.)

552,Xqzza,801520,2143,3038,16369,7567,2223,1855,0,None

553,mvrty,801295,2140,2262,15466,2627,3110,2885,10,United States

554,xStqtz,801070,1883,5954,22975,16890,2242,3077,1,None

555,power_boy2015,800590,2045,4090,29362,10570,1622,1998,0,United States

556,bloodybabies,799475,2228,7104,7266,15401,1448,645,0,United Kingdom

557,MyNonoSqware,799120,1879,4950,24755,16019,1532,1756,0,Holy See

558,Rxvenwing,798715,1995,2764,13408,7846,4418,3186,0,United Kingdom

559,amorsa,796540,2047,2598,18859,4890,1738,2268,0,None

560,Kennediq,795370,2196,7016,8266,14488,1740,850,0,Norway

561,ilyMadish,794050,1914,6109,17844,15404,2367,1832,0,None

562,Jaaaceee,791890,2123,3827,13488,8792,1973,1617,0,None

563,Wubby,791145,2066,4206,13120,11133,2152,2253,0,United Kingdom

564,_Ch4ppi,790995,2046,3738,16680,8815,2138,1667,0,None

565,capri3,790790,1726,5510,21874,15077,1902,2873,0,Maldives

566,Serklein,790140,1794,2668,16780,7887,5472,3819,0,United States

567,3BuDo,789440,2177,4789,11396,17502,2496,2049,4,None

568,eemkoSxnpai,789280,2037,4744,18121,10369,2060,4193,4,None

569,Painteh,788990,2239,3866,11422,8140,3025,2196,0,None

570,alohi,787915,2089,2562,25540,4260,2626,4020,0,None

571,_99_,785610,2344,2625,13021,4572,2112,1636,0,None

572,TschalakKilledMe,784475,2008,2258,15674,4321,3994,3195,0,None

573,Giagiochi,784090,2097,2978,24392,3089,5233,4958,0,Mexico

574,ZenitsuKun,783585,2085,4219,21073,16176,4974,4133,0,None

575,Burkina,782060,2071,4117,11315,7364,1639,1032,0,Russia

576,Fiireboy14,782015,2104,2951,19170,5362,1790,1637,0,None

577,IStoleYourMoney,781685,2143,3371,16737,9728,3056,1759,1,United Kingdom

578,oKuho,780575,1971,4318,16346,12736,2727,1947,0,None

579,Fiire14,779095,2287,2645,15996,4777,1761,1630,1,None

580,LinksNotThatTuff,778790,2180,5952,13036,11118,796,995,0,None

581,AUZX,778500,2061,3386,18443,8312,3964,2461,0,None

582,HerTeddy,776475,2222,2545,14294,3479,1467,1261,3,None

583,Icicky,775370,2181,2571,27208,3361,4059,3997,0,None

584,thorstein79,773700,1633,3619,21578,11070,3352,3412,5,None

585,bluci,771180,2290,3165,8871,9919,1879,1227,6,None

586,HydraWazez,770865,1975,3197,23272,5966,4641,3954,0,North Korea

587,juuz,770430,1961,3953,13093,10607,2694,1852,0,Germany

588,Emphaty,770145,1920,4255,15415,11294,2672,1515,1,None

589,Rabbiiit,769145,1965,2378,19422,4254,3375,2471,30,Canada

590,Skroks,768860,1970,3171,17718,9066,2783,3939,0,United States

591,CrispyKaylee,768100,1846,5133,17725,13135,1741,3684,0,France

592,ThyPham,767585,2092,2402,18660,4084,1604,2005,14,None

593,Mxrschye,766370,2004,3680,15889,7912,1675,2454,1,None

594,chriscalloway28,765855,1896,5714,18931,18508,3242,3112,1,Guyana

595,EspyTheLovePuppo,762810,2133,5358,10670,9648,1511,1053,1,Denmark

596,qills,759150,2021,3164,17854,7231,3242,2570,0,None

597,Weedz,759100,2016,3006,18566,6412,3068,2512,2,None

598,Sardonicism,757380,1856,3052,17722,7204,2392,3839,1,None

599,Lxska,755485,1815,7195,12402,14985,2498,2529,0,None

600,tastydish,754320,1836,1846,11081,1510,2747,2457,229,None

601,Jcrdy,753760,1820,5654,18642,13045,1494,1393,0,Poland

602,SryImLost,752950,1866,4491,12397,17791,1480,1001,0,None

603,Kanngo,752100,1996,2364,15966,4272,3292,2794,0,Russia

604,Lyamer,751905,1588,3520,23129,11723,4064,3470,0,United States

605,Kuoq,750985,2159,2419,11993,4461,1745,3698,1,United Kingdom

606,Simp4Dije,749370,2194,3500,15095,8604,2627,1764,1,None

607,Plante_,747740,1722,3589,24595,11583,3576,3064,1,None

608,Kchouky,747275,1872,2938,17431,11308,2148,3654,1,None

609,OogyBoogyTom,746720,1473,2592,15897,7076,6663,6085,4,Germany

610,svuny,746000,1872,3778,14233,13614,1906,1158,0,None

611,progamerCOHP,745720,1951,3019,17599,6526,2919,2245,0,United States

612,becca5728,745315,2060,3685,16623,12565,1354,1642,4,United Kingdom

613,ChildishSassy,744970,1763,3329,22243,8116,3731,3242,0,None

614,Jilana,742675,1987,5846,7372,15836,1585,666,1,Russia

615,Coleus,742455,1913,3051,18890,8450,2161,1830,0,None

616,Snxg,742000,2149,3392,8283,9149,1364,1214,0,None

617,ricky772,741570,1776,4225,15805,12344,2646,1965,0,United Kingdom

618,emxily,740735,2083,3047,12371,8449,1135,1049,23,United Kingdom

619,whatjazz,740440,2036,3476,14758,13598,1976,1229,0,None

620,BlackstarSxnpai,738345,1808,5300,11211,14131,1923,3164,0,United Kingdom

621,Davidians,738335,2057,2844,10248,3559,1230,1181,0,None

622,xOutcast,738080,2181,2652,13824,4858,1528,2014,4,United States

623,Namyah,737635,2158,2746,16468,4748,2172,2183,6,None

624,yachtyz,736240,1826,6584,17778,14619,1632,1328,0,Turkey

625,AvczCOF,736005,1769,3179,21794,7451,2447,4991,5,None

626,Marios_GR_Gamer,735760,1813,4307,18439,12882,1968,1776,0,Denmark

627,CAITXFRAUD,734985,1928,5355,6720,10052,1033,1035,1,United States

628,xKaity,733570,1863,3395,19258,9811,3542,2936,0,None

629,miknav,732080,1807,4951,18032,13831,2537,1979,0,None

630,Bubble_bugs,731620,1966,2885,13702,7288,2271,1846,0,None

631,sunset_light,729870,1653,4157,14454,12594,4252,2540,1,None

632,TC97JG,728000,1906,4868,6656,8256,999,1001,2,Italy

633,cybuh,727980,1999,2354,15054,2666,2185,2198,0,None

634,RoccoDev,727825,2206,2461,17942,1928,1726,2235,0,None

635,Phil_,725375,1977,2605,24202,7294,4301,3667,1,Denmark

636,TxpicalAsh,724325,1678,2669,16728,5473,3388,3978,0,None

637,Redredsee,724290,1809,3309,22346,7743,2145,2524,0,None

638,Dusty_Dust,722630,1998,2671,16851,7913,3898,3061,12,None

639,268,722410,2045,2341,23964,3949,3199,2857,3,None

640,xolqx,722025,1706,3497,17152,11596,2498,2486,0,None

641,Shamcy,722005,1873,4123,9339,9541,2179,2184,6,France

642,_Matteo,721220,1758,3467,25136,11049,2298,1723,0,None

643,LOWIQQ,720895,1965,2773,27881,1769,3022,2526,22,None

644,Kxrina,720040,1791,4318,14060,10401,1433,1940,0,None

645,SoldMyMomForWifi,719680,1674,4399,18156,12605,2783,1795,0,None

646,oxfried,719505,1762,3624,22974,13427,2167,2736,0,United Kingdom

647,CuzImfre3ze,718955,1589,3442,17648,14216,3595,2183,0,United States

648,Corkii,717865,1657,3466,15999,18348,3975,2792,0,None

649,Rainbowdrummer,716550,1545,5918,16120,14699,3591,3285,0,Solomon Islands

650,CheeckMC,716080,2128,3698,10858,8102,1411,1092,1,Netherlands

651,Dclly,715715,1865,5281,9903,18849,1677,795,0,France

652,syds,715480,2006,2107,11741,1720,2061,2169,15,None

653,arriec,715415,1827,3511,15038,8044,1827,1482,4,Canada

654,LShiroT,714940,1837,4283,15653,14810,1976,1790,1,France

655,ChillStateOfMind,714730,1617,3745,18225,11678,5542,4534,1,None

656,Scythx_,714515,2029,3437,19327,8612,1707,3218,1,Mongolia

657,Spiderwiky,713395,1871,3869,16375,9074,1107,1383,0,None

